,Unnamed: 0,Headline,Ranking,Review,ReviewDate,clean_text,lemmatized,sent_toke,money_related,delivery_service,return_service,products,customer_service,brand
33,23,Boozt funker bare perfekt,5,Boozt funker bare perfekt - også når der skal byttes! Tak.,2019-12-14,Boozt funker bare perfekt  også når der skal byttes Tak.,Boozt funke bare perfekt også når der skulle bytte takke,boozt funke bare perfekt også når der skulle bytte takke,0,0,1,0,0,0
34,24,"Gode priser,hurtig levering og fin…",5,"Gode priser,hurtig levering og fin kundeservice !",2019-12-14,Gode priserhurtig levering og fin kundeservice ,Gode priserhurtig levering og fin kundeservice,gode priserhurtig levering og fin kundeservice,1,1,0,0,1,0
35,25,Ok levering nemt og hurtigt,5,"Ok levering nemt og hurtigt, nemt at returnere , så alt ok",2019-12-14,Ok levering nemt og hurtigt nemt at returnere  så alt ok,ok levering nemt og hurtigt nemt at returnere så al ok,ok levering nemt og hurtigt nemt at returnere så al ok,0,1,1,0,1,0
36,26,Fin oplevelse og “ingen slinger i…,5,Fin oplevelse og “ingen slinger i valsen “,2019-12-14,Fin oplevelse og ingen slinger i valsen ,fin oplevelse og ingen slinge i vals,fin oplevelse og ingen slinge i vals,0,0,0,0,0,1
37,27,Fint udvalg og hurtig levering,5,Fint udvalg og hurtig levering,2019-12-14,Fint udvalg og hurtig levering,fin udvalg og hurtig levering,fin udvalg og hurtig levering,0,1,0,1,1,0
38,28,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,god oplevelse at handle hos boozt.com .,0,0,0,0,0,1
39,28,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,vare komme i løb af dag .,0,0,0,1,0,0
40,28,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ingen at klag over .,0,0,0,0,0,0
41,28,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ville handle det igen .,0,0,0,0,0,0
42,29,"Altid stort udvalg, hurtig levering og nem retur",5,"Jeg elsker at handle hos jer og er vild med jeres hjemmeside, der er nem at navigere i.",2019-12-14,Jeg elsker at handle hos jer og er vild med jeres hjemmeside der er nem at navigere i.,jeg elske at handle hos I og være vild med jeres hjemmeside der være nem at naviger i .,jeg elske at handle hos i og være vild med jeres hjemmeside der være nem at naviger i .,0,0,0,0,0,1
43,30,Fin og perfekt service og levering,5,Fin og perfekt service og levering,2019-12-14,Fin og perfekt service og levering,fin og perfekt service og levering,fin og perfekt service og levering,0,1,0,0,1,0
